,genes,BF_21,FC
120,YAL049C,601.7642720943918,0.5927922152405107
121,YAL051W,126.93853045818817,0.33695137484951104
122,YAL053W,4215.4189579044105,0.6813815498366771
123,YAL054C,651.5505714878809,0.8844111111816826
124,YAL055W,319.3039717589636,0.587300061180997
125,YAL056C-A,-5.292788444619316,0.4198343271120869
126,YAL056W,952.8418066862931,0.5647866643819992
127,YAL058W,2.201646336718577,0.11518730110125469
128,YAL059C-A,-7.95139683016247,-1.1381613261550654
129,YAL059W,59.564090238527825,-0.5088165856642121
130,YAL060W,60.16598828889233,-0.13604830417454042
131,YAL061W,9735.10691604942,-1.9385300257942883
132,YAL062W,259.2541070956117,0.4688906488844888
133,YAL063C,59.72643460657708,0.2854953007206574
134,YAL063C-A,17.516799961857487,1.3553791046767838
135,YAL064C-A,-6.377755882829633,-0.0026145772154262557
136,YAL064W,50.38598916676161,1.8573248863828096
137,YAL064W-B,-5.095908410416869,-0.15813480137346572
138,YAL065C,4.194855957281925,0.35653604977988684
139,YAL066W,-6.572984743172861,1.0842311401503348
140,YAL067C,188.07882724803952,1.5234748830305183
141,YAL067W-A,-6.904503293183892,0.4301224783517232
142,YAL068C,0.18530915661783906,0.5049967537721657
143,YAL068W-A,-7.971694499450425,-0.13816132249800908
144,YAL069W,-8.27371985942778,-0.1381613221304689
145,YAR002C-A,981.7944057392571,0.5161361308420178
146,YAR002W,7.39060258507511,0.08581015546827143
147,YAR003W,193.9634802848693,0.4099696944698624
148,YAR007C,1045.4848953528572,0.7939368643636121
149,YAR008W,444.7989486211247,0.8706747831374633
150,YAR009C,10352.936544844642,-2.1979839354368393
151,YAR010C,113.19305311540239,-0.29390036643366985
152,YAR014C,32.051153602832926,0.12922457698420148
153,YAR015W,4299.519171730693,-1.020118118638289
154,YAR018C,207.35086480968317,0.524319138340211
155,YAR019C,162.60794353463945,0.47417729099154515
156,YAR019W-A,-3.470407551267493,0.5516706117424076
157,YAR020C,20.034516006632103,0.5184394640297445
158,YAR023C,12.08486058343218,0.2913547153845041
159,YAR027W,125.62235405002582,0.25446108592551264
160,YAR028W,37.062380520271724,0.2295669727219979
161,YAR029W,-5.665163219288906,0.1253806180589138
162,YAR030C,-0.5414073054147314,0.3018465682339001
163,YAR031W,17.948616809930662,0.23427418445116546
164,YAR033W,28.101633256390794,0.2306161332088303
165,YAR035C-A,12.843989600909637,1.8004387332203153
166,YAR035W,1011.9330953047933,1.2274180922805809
167,YAR042W,354.4216252135489,0.34017151584399646
168,YAR047C,-6.529322501417751,-0.11299750159781632
169,YAR050W,-5.58802386204106,0.023868848870037374
170,YAR053W,69.9707007626595,1.6824792922237641
171,YAR060C,-1.8063286723539245,0.7285725069786259
172,YAR061W,-6.896402970908166,0.013841778316814981
173,YAR062W,-6.650333058380254,-0.04546470116976021
174,YAR064W,-6.284665384814175,0.06849835373930264
175,YAR066W,8.874211507220034,0.34400833301097405
176,YAR068W,552.837207097021,1.145139378314084
177,YAR069C,-6.079509254039649,-0.416462599290778
178,YAR070C,-5.71907863095141,-0.33670717706907094
179,YAR071W,28112.980117957584,-3.996880404743102
180,YAR073W,605.3391939011091,-1.093908987057247
181,YAR075W,188.62193432967814,-0.764169449577826
182,YBL001C,1869.455131305166,0.8808858324551352
183,YBL002W,1694.6518098410293,0.5205401811488618
184,YBL003C,7372.030086193813,0.8022101176745102
185,YBL004W,35.22586177227616,-0.12239148120421776
186,YBL005W,1048.8001374088806,-0.9636569086387587
187,YBL005W-A,-8.27371985942778,-0.1381613221304689
188,YBL005W-B,9631.636407738377,-1.9258742851759814
189,YBL006C,-3.4122477549754993,-0.035937642935273004
190,YBL006W-A,-8.27371985942778,-0.1381613221304689
191,YBL007C,454.0136587713677,0.25848367853043996
192,YBL008W,32.8789247434387,0.235850860051543
193,YBL008W-A,-6.961924565409948,-0.08616670955833501
194,YBL009W,1.5171699765302074,0.10702900399076892
195,YBL010C,228.74106335389155,0.7210760401085784
196,YBL011W,399.67831834840257,0.3466300125442132
197,YBL012C,-6.666417977832153,0.04453102621826764
198,YBL013W,-6.155681610211517,0.04401722476954196
199,YBL014C,2.7727703195911904,0.12436917076839644
200,YBL015W,1783.2388021090787,0.8511489579503512
201,YBL016W,17.53334209502376,-0.14275820036322406
202,YBL017C,1077.994822451765,0.43235066923890614
203,YBL018C,4.934543153233414,0.13419023597120042
204,YBL019W,109.25871188660864,0.487206782096824
205,YBL020W,38.36794616647511,0.20620810637019735
206,YBL021C,57.016254073334935,0.2774974883079756
207,YBL022C,-3.805222432980325,0.021892617608618634
208,YBL023C,281.80100708774967,0.462324498323294
209,YBL024W,192.60688407615515,-0.32393354179681977
210,YBL025W,23.82934677648934,0.3028955827972398
211,YBL026W,76.85628983540443,0.28182094178784595
212,YBL027W,202.6312137118412,-0.07827794115245684
213,YBL028C,163.8105468099482,-0.606146502358343
214,YBL029C-A,146.3145915083399,0.49254955733904354
215,YBL029W,208.9007894409135,0.5301630347763304
216,YBL030C,3242.3017254799647,0.5982022697247097
217,YBL031W,8.962036178015607,0.17280110752853764
218,YBL032W,12.06085165844537,0.07559613563190187
219,YBL033C,478.4927027635348,0.4187524982314027
220,YBL034C,62.06632112599468,0.35013037177273776
221,YBL035C,46.98562772762654,0.3384520305449839
222,YBL036C,129.35016335575733,0.32084110976658364
223,YBL037W,-3.8444841988532983,-0.042085298304412176
224,YBL038W,73.55660006914881,0.26081606534626905
225,YBL039C,1545.7876832196234,-0.9689326886832561
226,YBL039C-A,-8.27371985942778,-0.1381613221304689
227,YBL039W-B,260.4189172713462,0.9769662555874531
228,YBL040C,859.1897633245927,0.6280550293444903
229,YBL041W,2864.0395504570124,0.6254950023695202
230,YBL042C,332.62162197017165,0.5244657506108353
231,YBL043W,159.79935821762925,0.8359983486022607
232,YBL044W,1190.2185069373152,3.420119871227216
233,YBL045C,349.2901254604794,0.2862425652683247
234,YBL046W,543.4806124339146,0.5289407610390089
235,YBL047C,285.87571197699583,0.18201409834175514
236,YBL048W,40.346496459633975,0.904358208225634
237,YBL049W,220.40413976263142,0.9222207844161427
238,YBL050W,998.1196438942475,0.5856777010090872
239,YBL051C,26.968960199696166,-0.10742738406095864
240,YBL052C,46.973626578537086,0.2551748683063262
241,YBL053W,-4.455359926597342,0.4278183590041566
242,YBL054W,508.399494227931,-1.0699978984766807
243,YBL055C,-2.6476864214320153,-0.043996792605405816
244,YBL056W,-4.079836937781741,0.015231505159811318
245,YBL057C,137.3489350223387,0.264507589481558
246,YBL058W,214.45668985170602,0.19877555672384922
247,YBL059C-A,29.95756440975021,0.28180455915032276
248,YBL059W,68.32641472132686,0.44230239973286833
249,YBL060W,228.3677719520231,0.555260126786774
250,YBL061C,9.696767764191579,-0.09986170235883599
251,YBL062W,-4.652193281970861,0.6179132890099152
