,locus_name,BF,FC,BF_k1_1,BF_k1_2
1973,YER159C,-2.701087543263793,0.16709027477261792,-4.919215812530419,-4.9691237717814944
1974,YER159C-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
1975,YER160C,-0.6518602989626404,-0.11680075361769034,8.239500869358304,-0.37384910211296396
1976,YER161C,-4.920565998752114,0.044297654590600546,4.960502275301647,-4.724316053493688
1977,YER162C,-3.685734097505517,0.1349780469175393,1.5609182207748022,-4.818407885478752
1978,YER163C,-5.208022558323922,-0.017311159875857133,1.7219139298744957,-2.3128787373581776
1979,YER164W,-4.87633526594397,-0.037968511601652745,14.655528146798888,-4.593006534652686
1980,YER165C-A,-5.523833198235917,1.0713049712243738,-6.02322119943465,-5.20131578506294
1981,YER165W,-4.733362532858457,2.445563450176272e-06,32.74451863505168,-4.216837104940248
1982,YER166W,-4.302668944464571,-0.05510575540558891,0.848807320990511,-4.797615194983541
1983,YER167W,-4.897229487678431,0.04508763248912082,3.7396060333291308,-4.415271010517029
1984,YER168C,-5.277717240512272,-0.03072304286037727,4.401953074576503,-5.028041368192924
1985,YER169W,-0.5828075111307649,0.23576410033005846,9.116554997810466,-3.783324786984315
1986,YER170W,-3.9309826797198113,0.23206274281151776,-4.961666872073459,-5.207868413854058
1987,YER171W,-4.363651419268583,0.10547536773337667,15.495712774083517,-4.284940149537383
1988,YER172C,-4.0095407433474985,-0.09396102216623219,33.67380508209396,-4.777308558844014
1989,YER172C-A,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
1990,YER173W,-5.308604144940076,0.07371262784693319,-0.27699694578187767,-4.945825500754514
1991,YER174C,-3.323148847389288,0.170772381603523,-0.2887567211597205,-1.7004996202074976
1992,YER175C,-5.447966432593912,0.03059569392835984,-2.8435482648388852,-2.8367951981380264
1993,YER175W-A,-6.019221217264455,-0.08397393825607491,-3.826693132185827,-5.488388647012273
1994,YER176W,-4.168249737777585,0.08582933995046352,13.552196602223253,-4.8611091329056215
1995,YER177W,-4.625650138548709,-0.00209600884030442,9.356641141362353,3.810975259393739
1996,YER178W,-4.7472594408379605,-0.008228036719847934,0.4755204491665115,1.0047193883153682
1997,YER179W,-5.373081872616733,0.09206446809568779,-4.954509013542968,-5.283261652523236
1998,YER180C,-4.9563758448634125,0.11785010281551006,3.503531994836386,-2.2459332873784237
1999,YER180C-A,-4.949217882789049,0.2560126285927254,-5.187462602098399,-4.771072163127874
2000,YER181C,-6.234776755819838,0.2639496661776255,-6.179828964381099,-5.598120447378413
2001,YER182W,-2.8127546663838974,0.19644120149655442,-4.9382635104865855,-4.9949710211661325
2002,YER183C,-3.0264178113152247,0.21444603498657225,-3.0935096593888223,-4.869018163407857
