genes,#R3,#R6,#R12,#R20
YBR137W,0,0,0,0
YBR138C,0,0,0,0
YBR139W,0,0,0,0
YBR140C,0,0,0,0
YBR141C,0,0,0,0
YBR141W-A,0,0,0,0
YBR142W,45,54,35,24
YBR143C,0,0,0,0
YBR144C,1,4,0,0
YBR145W,3,0,0,0
YBR146W,0,0,0,0
YBR147W,30,22,4,2
YBR148W,35,28,15,10
YBR149W,0,0,0,0
YBR150C,0,0,0,0
YBR151W,0,0,0,0
YBR152W,0,0,0,0
YBR153W,0,0,0,0
YBR154C,0,1,0,0
YBR155W,0,0,0,0
YBR156C,0,0,0,0
YBR157C,0,0,0,0
YBR158W,0,0,0,0
YBR159W,0,0,0,0
YBR160W,0,0,0,0
YBR161W,0,0,0,0
YBR162C,0,0,0,0
YBR162W-A,0,0,0,0
YBR163W,0,0,0,0
YBR164C,0,0,0,0
YBR165W,0,0,0,0
YBR166C,0,0,0,0
YBR167C,0,0,0,0
YBR168W,0,0,0,0
YBR169C,0,0,0,0
YBR170C,0,0,0,0
YBR171W,0,0,0,0
YBR172C,0,0,0,0
YBR173C,0,0,0,0
YBR174C,0,4,4,13
YBR175W,0,0,0,0
YBR176W,0,0,0,0
YBR177C,0,0,0,0
YBR178W,5,33,67,93
YBR179C,0,0,0,0
YBR180W,10,7,0,0
YBR181C,0,0,0,0
YBR182C,0,0,0,0
YBR182C-A,4,30,13,4
YBR183W,0,0,0,0
YBR184W,25,13,9,0
YBR185C,0,0,0,0
YBR186W,0,0,0,0
YBR187W,0,0,0,0
YBR188C,0,0,0,0
YBR189W,0,0,0,0
YBR190W,9,6,0,0
YBR191W,0,0,0,0
YBR191W-A,18,2,1,0
YBR192W,0,0,0,0
YBR193C,0,0,0,0
YBR194W,0,0,0,0
YBR195C,0,0,0,0
YBR196C,6,0,0,0
YBR196C-A,5,8,1,0
YBR196C-B,3,0,0,0
YBR197C,0,0,0,0
YBR198C,0,0,0,0
YBR199W,0,0,0,0
YBR200W,0,0,0,0
YBR200W-A,5,28,58,79
YBR201C-A,0,0,0,0
YBR201W,0,0,0,0
YBR202W,0,0,0,0
YBR203W,0,0,0,0
YBR204C,0,0,0,0
YBR205W,0,0,0,0
YBR206W,0,0,0,0
YBR207W,0,0,0,0
YBR208C,0,0,0,0
YBR209W,73,90,99,100
YBR210W,0,0,0,0
YBR211C,0,0,0,0
YBR212W,0,0,0,0
YBR213W,0,0,0,0
YBR214W,0,0,0,0
YBR215W,0,0,0,0
YBR216C,0,0,0,0
YBR217W,0,0,0,0
YBR218C,1,0,0,0
YBR219C,4,30,68,98
YBR220C,0,0,0,0
YBR221C,0,0,0,0
YBR221W-A,6,0,1,0
YBR222C,0,0,0,0
YBR223C,0,0,0,0
YBR223W-A,0,0,0,0
YBR224W,1,2,1,0
YBR225W,0,0,0,0
YBR226C,36,31,14,13
YBR227C,0,0,0,0
YBR228W,0,0,0,0
YBR229C,0,0,0,0
YBR230C,4,0,0,0
YBR230W-A,86,98,100,100
YBR231C,0,0,0,0
YBR232C,1,0,0,0
YBR233W,0,0,0,0
YBR233W-A,0,0,0,0
YBR234C,0,0,0,0
YBR235W,0,0,0,0
YBR236C,0,0,0,0
YBR237W,0,0,0,0
YBR238C,98,100,100,100
YBR239C,0,0,0,0
YBR240C,0,0,0,0
YBR241C,62,72,76,85
YBR242W,0,0,0,0
YBR243C,0,0,0,0
YBR244W,100,100,100,100
YBR245C,0,0,0,0
YBR246W,0,0,0,0
YBR247C,63,74,84,91
YBR248C,0,0,0,0
YBR249C,0,0,0,0
YBR250W,2,0,0,0
YBR251W,0,0,0,0
YBR252W,0,0,0,0
YBR253W,0,0,0,0
YBR254C,0,0,0,0
YBR255C-A,0,0,0,0
YBR255W,0,0,0,0
YBR256C,0,0,0,0
YBR257W,0,0,0,0
YBR258C,0,0,0,0
YBR259W,0,0,0,0
YBR260C,0,0,0,0
YBR261C,3,0,0,0
YBR262C,0,0,0,0
YBR263W,0,0,0,0
YBR264C,0,0,0,0
YBR265W,0,0,0,0
YBR266C,0,0,0,0
YBR267W,74,89,99,100
YBR268W,0,0,0,0
YBR269C,0,0,0,0
YBR270C,0,0,0,0
YBR271W,15,6,2,0
YBR272C,0,0,0,0
YBR273C,0,0,0,0
YBR274W,0,0,0,0
YBR275C,0,0,0,0
YBR276C,0,0,0,0
YBR277C,0,0,0,0
YBR278W,0,0,0,0
YBR279W,0,0,0,0
YBR280C,0,0,0,0
YBR281C,0,0,0,0
YBR282W,0,0,0,0
YBR283C,0,0,0,0
YBR284W,0,0,0,0
YBR285W,1,0,0,0
YBR286W,0,0,0,0
YBR287W,0,0,0,0
YBR288C,0,0,0,0
YBR289W,0,0,0,0
YBR290W,0,0,0,0
YBR291C,0,0,0,0
YBR292C,2,2,0,0
YBR293W,0,0,0,0
YBR294W,0,0,0,0
YBR295W,0,0,0,0
YBR296C,100,100,100,100
YBR296C-A,33,65,69,84
YBR297W,0,0,0,0
YBR298C,0,0,0,0
YBR298C-A,0,3,5,1
YBR299W,0,0,0,0
YBR300C,8,11,5,0
YBR301W,0,0,0,0
YBR302C,0,0,0,0
YCL001W,0,0,0,0
YCL001W-A,1,7,1,0
YCL001W-B,8,5,0,0
YCL002C,0,0,0,0
YCL004W,0,0,0,0
YCL005W,0,0,0,0
YCL005W-A,0,0,0,0
YCL007C,0,0,0,0
YCL008C,0,0,0,0
YCL009C,0,0,0,0
YCL010C,0,0,0,0
YCL011C,0,0,0,0
YCL012C,0,0,0,0
YCL014W,0,0,0,0
YCL016C,0,0,0,0
YCL017C,0,0,0,0
YCL018W,0,0,0,0
YCL019W,100,100,100,100
YCL020W,0,0,0,0
YCL021W-A,98,100,100,100
YCL022C,0,0,0,0
YCL023C,1,9,14,20
YCL024W,1,0,0,0
YCL025C,100,100,100,100
YCL026C-A,0,0,0,0
YCL026C-B,71,72,79,81
YCL027W,58,63,73,84
YCL028W,0,0,0,0
YCL029C,0,0,0,0
YCL030C,97,97,100,100
YCL031C,0,0,0,0
YCL032W,0,0,0,0
YCL033C,1,0,0,0
YCL034W,0,0,0,0
YCL035C,0,0,0,0
YCL036W,97,100,100,100
YCL037C,81,100,100,100
YCL038C,0,0,0,0
YCL039W,0,0,0,0
YCL040W,3,0,0,0
YCL041C,12,15,5,0
YCL042W,7,4,3,0
YCL043C,0,0,0,0
YCL044C,0,0,0,0
YCL045C,0,0,0,0
YCL046W,2,1,6,16
YCL047C,0,0,0,0
YCL048W,100,100,100,100
YCL048W-A,83,100,100,100
YCL049C,0,0,0,0
YCL050C,0,0,0,0
YCL051W,0,0,0,0
YCL052C,0,0,0,0
YCL054W,45,43,16,11
YCL055W,0,0,0,0
YCL056C,1,0,0,0
YCL057C-A,2,0,0,0
YCL057W,0,0,0,0
YCL058C,20,16,4,0
YCL058W-A,0,0,0,0
YCL059C,0,0,0,0
YCL061C,0,0,0,0
YCL063W,1,1,0,0
YCL064C,100,100,100,100
YCL065W,6,0,0,0
YCL066W,0,0,0,0
YCL067C,0,0,0,0
YCL068C,2,0,0,0
YCL069W,0,0,0,0
YCL073C,39,38,18,12
YCL074W,0,0,0,0
YCL075W,0,0,0,0
YCL076W,0,0,0,0
YCR001W,0,0,0,0
YCR002C,0,0,0,0
YCR003W,0,0,0,0
YCR004C,0,0,0,0
YCR005C,54,65,73,88
YCR006C,18,7,1,0
YCR007C,0,0,0,0
YCR008W,0,0,0,0
YCR009C,0,0,0,0
YCR010C,40,39,21,9
YCR011C,0,0,0,0
YCR012W,0,0,0,0
YCR013C,4,1,0,0
YCR014C,0,0,0,0
YCR015C,0,0,0,0
YCR016W,1,1,0,0
YCR017C,0,0,0,0
YCR018C,100,100,100,100
YCR018C-A,4,0,0,0
YCR019W,0,0,0,0
YCR020C,0,0,0,0
YCR020C-A,0,0,0,0
YCR020W-B,0,0,0,0
YCR021C,99,100,100,100
YCR022C,8,1,0,0
YCR023C,0,0,0,0
YCR024C,0,0,0,0
YCR024C-A,56,62,76,77
YCR024C-B,20,26,16,7
YCR025C,100,100,100,100
YCR026C,0,0,0,0
YCR027C,0,0,0,0
YCR028C,0,0,0,0
YCR028C-A,0,0,0,0
YCR030C,0,0,0,0
YCR031C,0,0,0,0
YCR032W,0,0,0,0
YCR033W,0,0,0,0
YCR034W,0,0,0,0
YCR035C,0,0,0,0
YCR036W,0,0,0,0
YCR037C,0,0,0,0
YCR038C,0,0,0,0
YCR038W-A,0,0,0,0
YCR039C,0,0,0,0
YCR040W,0,0,0,0
YCR041W,2,0,0,0
YCR042C,0,0,0,0
YCR043C,0,0,0,0
YCR044C,0,0,0,0
YCR045C,0,0,0,0
YCR045W-A,0,0,0,0
YCR046C,0,0,0,0
YCR047C,0,0,0,0
YCR047W-A,0,0,0,0
YCR048W,0,0,0,0
YCR049C,0,0,3,0
YCR050C,1,4,0,0
YCR051W,0,0,0,0
YCR052W,0,0,0,0
YCR053W,0,0,0,0
