,locus_name,BF,FC,BF_IC_WT,AOTP_WT,BF_IC_Snf2,AOTP_Snf2
209,YBL024W,192.60688407615515,-0.3239335417968197,258.1645430744744,True,-62.445276067100316,False
212,YBL027W,202.6312137118412,-0.0782779411524568,510.5992440032945,True,506.533738896589,True
213,YBL028C,163.8105468099482,-0.606146502358343,174.12392603416805,True,-96.98813357537762,False
216,YBL030C,3242.3017254799647,0.5982022697247097,158.77932513051618,True,-30.360400800391652,False
219,YBL033C,478.4927027635348,0.4187524982314027,114.40718127034093,True,4.517901406810929,True
225,YBL039C,1545.7876832196234,-0.968932688683256,819.1408628741927,True,-62.519283429268974,False
233,YBL045C,349.2901254604794,0.2862425652683247,178.20212829893626,True,-51.31846063319563,False
235,YBL047C,285.87571197699583,0.1820140983417551,152.51545658442365,True,52.34782487413858,True
238,YBL050W,998.1196438942476,0.5856777010090872,71.3260817076472,True,-16.80618234872666,False
242,YBL054W,508.399494227931,-1.0699978984766807,259.3796109936069,True,-150.56915217667202,False
253,YBL064C,167.76506873964556,0.2664208698741626,90.21541994228197,True,-26.559436641557717,False
256,YBL067C,248.33130946186796,0.3730678716553637,17.08735912122793,True,-51.807683399046276,False
264,YBL072C,164.37997308747438,-0.0688008544845885,1112.3526512973058,True,879.5355553499097,True
268,YBL076C,500.39135639674754,-0.2300516744623764,615.6041299559529,True,381.44648386445624,True
271,YBL079W,-5.494265298955154,0.0125422328171872,151.4567963583085,True,-65.07850882514616,False
273,YBL081W,252.091785617095,-0.4168334143874866,224.19458797980835,True,86.75709790113488,True
277,YBL085W,2855.6329041490603,0.8318690640133162,45.18057365887173,True,7.847171554429707,True
279,YBL087C,1291.390342089738,-0.28299624831506,403.3093655356723,True,150.49014064265128,True
283,YBL091C,1302.497933231611,0.413874453121985,53.86393357773954,True,75.6506986980881,True
285,YBL092W,302.1371840872368,-0.0873022630938865,1427.3259168512566,True,1143.4381387273925,True
286,YBL093C,5.834635133399748,0.0726422217257278,-0.8081081461255832,True,-156.48918462126036,False
292,YBL099W,1336.3506015406356,0.3870285054224823,137.3287266687494,True,-107.04939056737041,False
297,YBL101C,19.118110482141653,-0.103583618838958,502.1456217814796,True,-82.85557991838583,False
301,YBL105C,391.75072274031874,0.3292661793313424,50.616396194203865,True,6.650338293817347,True
310,YBL113C,1311.5195804458283,0.7468854285195309,47.970203360786556,True,131.62663487651324,True
315,YBR004C,54.65805022855736,0.2165195344337056,45.177515257600476,True,-6.999785955534348,False
316,YBR005W,60.42816841703845,0.1641528738622464,333.5935082304739,True,232.58558171575154,True
317,YBR006W,486.88699338817537,0.6114397283645215,43.0268128495282,True,-177.21767587004246,False
320,YBR009C,4046.1699149398346,0.5264089308638601,360.191729908969,True,57.2224522486076,True
321,YBR010W,4180.107224712964,0.5920000221453605,1335.0019155078778,True,871.2518808586609,True
322,YBR011C,10612.404648134054,0.6590832381636007,641.2878259166196,True,699.5919511919107,True
