,locus_name,BF,FC,BF_IC_WT,AOTP_WT,BF_IC_Snf2,AOTP_Snf2
47,RDN58-1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
48,RDN58-2,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
49,RNA170,15.197424619356996,0.7853781228253592,-228.06119847326474,False,-236.32581870014405,False
50,RPM1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
51,RPR1,102.50578093176772,-0.9735074193582004,-29.530821492541143,False,-163.63689023491335,False
52,RUF20,58.301953377833975,0.4673518420648895,-87.6670164019639,False,-105.50583695183448,False
53,RUF21,24.026870796751105,0.5729096437854948,-40.011620244027895,False,-18.211398181224894,False
54,RUF22,-7.3878227165721375,-0.6527345092392582,-266.8849759773382,False,-282.9772262993604,False
55,RUF23,2.038113666366991,0.7035362414395055,-234.9472547924645,False,-246.2078316514009,False
56,RUF5-1,-1.191578752032124,0.0801332056340218,232.72061502820802,True,4.230185987555904,True
57,RUF5-2,-3.13938396998362,0.0776768253587661,105.6533909577076,True,-93.02686235833075,False
58,SCR1,10.530222635089824,0.1256052091424891,3463.535578290302,True,5939.24953649007,True
59,SRG1,365.7333597284148,-0.9398031480150943,1.1900749649459001,True,-141.2637134806501,False
60,TLC1,777.7631235447653,0.4727380960145318,284.8953444315611,True,178.48821967783923,True
61,YAL001C,510.6503727771691,0.6341299691912399,-70.9804696863433,False,-69.04291931122933,False
62,YAL002W,15.606989925090854,0.1383590963609945,-73.35323268629944,False,-99.49779683559753,False
63,YAL003W,6673.475967675595,-0.5941326512514147,954.6634049368784,True,259.1316181622329,True
64,YAL004W,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
65,YAL005C,5690.406648175856,-0.4675870052840294,3022.0956990381355,True,1476.210000087905,True
66,YAL007C,680.878652102721,0.5213131707239944,-120.34010801405522,False,-97.80062016478603,False
67,YAL008W,250.062831823122,0.4973457637961087,-73.73567851849205,False,-171.30897119637814,False
68,YAL009W,211.77799701033044,0.5154173713748484,-151.92862665267538,False,-176.68042491924535,False
69,YAL010C,102.39804353161256,0.3714587842666838,-133.48841195517116,False,-137.61953049758444,False
70,YAL011W,351.9969809928625,0.5998660019091864,-145.46143403742994,False,-148.13545499218577,False
71,YAL012W,4019.976649110938,0.5436704143789074,188.7631767152112,True,491.94874568403867,True
72,YAL013W,1032.411676193212,0.5924006357081362,-117.2208833696369,False,-46.77512218546856,False
73,YAL014C,761.3783091443139,0.5333617533675538,-90.07535331037307,False,-66.88233198374982,False
74,YAL015C,679.2321773655809,0.7770751354703227,-174.2554985544472,False,-162.40539460786496,False
75,YAL016C-A,-0.9136843915004677,-0.3224081073079006,-202.9556533213806,False,-210.99535764131815,False
76,YAL016C-B,126.0452520790596,1.0601298256293576,-197.18125372964042,False,-173.0522822152792,False
77,YAL016W,238.45705258854463,0.2511547125994273,-63.1141219165962,False,-125.02638599611342,False
