,locus_name,FC0_bayexpress,FC1_bayexpress,FC2_bayexpress,FC0_edgeR,FC1_edgeR,FC2_edgeR,FC0_DESeq2,FC1_DESeq2,FC2_DESeq2
179,YAR071W,True,True,True,True,True,True,True,True,True
180,YAR073W,True,True,False,True,True,False,True,True,False
181,YAR075W,True,False,False,True,True,False,True,True,False
182,YBL001C,True,False,False,True,False,False,True,False,False
183,YBL002W,True,False,False,True,False,False,True,False,False
184,YBL003C,True,False,False,True,False,False,True,False,False
185,YBL004W,True,False,False,True,False,False,True,False,False
186,YBL005W,True,False,False,True,True,False,True,True,False
187,YBL005W-A,False,False,False,,,,,,
188,YBL005W-B,True,True,False,True,True,True,True,True,True
189,YBL006C,False,False,False,True,False,False,True,False,False
190,YBL006W-A,False,False,False,,,,,,
191,YBL007C,True,False,False,False,False,False,False,False,False
192,YBL008W,True,False,False,False,False,False,False,False,False
193,YBL008W-A,False,False,False,,,,False,False,False
194,YBL009W,True,False,False,False,False,False,False,False,False
195,YBL010C,True,False,False,True,False,False,True,False,False
196,YBL011W,True,False,False,True,False,False,True,False,False
197,YBL012C,False,False,False,False,False,False,False,False,False
198,YBL013W,False,False,False,True,False,False,True,False,False
199,YBL014C,True,False,False,False,False,False,False,False,False
200,YBL015W,True,False,False,True,False,False,True,False,False
201,YBL016W,True,False,False,True,False,False,True,False,False
202,YBL017C,True,False,False,True,False,False,True,False,False
203,YBL018C,True,False,False,False,False,False,False,False,False
204,YBL019W,True,False,False,True,False,False,True,False,False
205,YBL020W,True,False,False,False,False,False,False,False,False
206,YBL021C,True,False,False,False,False,False,False,False,False
207,YBL022C,False,False,False,True,False,False,True,False,False
208,YBL023C,True,False,False,True,False,False,True,False,False
209,YBL024W,True,False,False,True,False,False,True,False,False
210,YBL025W,True,False,False,False,False,False,False,False,False
211,YBL026W,True,False,False,False,False,False,False,False,False
212,YBL027W,True,False,False,True,False,False,True,False,False
213,YBL028C,True,False,False,True,False,False,True,False,False
214,YBL029C-A,True,False,False,True,False,False,True,False,False
215,YBL029W,True,False,False,True,False,False,True,False,False
216,YBL030C,True,False,False,True,False,False,True,False,False
217,YBL031W,True,False,False,False,False,False,False,False,False
218,YBL032W,True,False,False,True,False,False,True,False,False
219,YBL033C,True,False,False,False,False,False,False,False,False
220,YBL034C,True,False,False,False,False,False,False,False,False
221,YBL035C,True,False,False,False,False,False,False,False,False
222,YBL036C,True,False,False,False,False,False,False,False,False
223,YBL037W,False,False,False,True,False,False,True,False,False
224,YBL038W,True,False,False,False,False,False,False,False,False
225,YBL039C,True,False,False,True,True,False,True,True,False
226,YBL039C-A,False,False,False,,,,,,
227,YBL039W-B,True,False,False,True,False,False,True,False,False
228,YBL040C,True,False,False,True,False,False,True,False,False
229,YBL041W,True,False,False,True,False,False,True,False,False
230,YBL042C,True,False,False,True,False,False,True,False,False
231,YBL043W,True,False,False,True,False,False,True,False,False
232,YBL044W,True,True,True,True,True,True,True,True,True
233,YBL045C,True,False,False,False,False,False,False,False,False
234,YBL046W,True,False,False,True,False,False,True,False,False
235,YBL047C,True,False,False,True,False,False,True,False,False
236,YBL048W,True,False,False,True,False,False,True,False,False
237,YBL049W,True,False,False,True,False,False,True,False,False
238,YBL050W,True,False,False,True,False,False,True,False,False
239,YBL051C,True,False,False,True,False,False,True,False,False
240,YBL052C,True,False,False,False,False,False,False,False,False
241,YBL053W,False,False,False,,,,False,False,False
242,YBL054W,True,True,False,True,True,False,True,True,False
243,YBL055C,False,False,False,True,False,False,True,False,False
244,YBL056W,False,False,False,True,False,False,True,False,False
245,YBL057C,True,False,False,False,False,False,False,False,False
246,YBL058W,True,False,False,True,False,False,True,False,False
247,YBL059C-A,True,False,False,False,False,False,False,False,False
248,YBL059W,True,False,False,True,False,False,True,False,False
249,YBL060W,True,False,False,True,False,False,True,False,False
250,YBL061C,True,False,False,True,False,False,True,False,False
251,YBL062W,False,False,False,,,,False,False,False
252,YBL063W,True,False,False,False,False,False,False,False,False
253,YBL064C,True,False,False,False,False,False,False,False,False
254,YBL065W,False,False,False,,,,False,False,False
255,YBL066C,True,False,False,True,False,False,True,False,False
256,YBL067C,True,False,False,True,False,False,True,False,False
257,YBL068W,True,False,False,True,False,False,True,False,False
258,YBL068W-A,False,False,False,,,,,,
259,YBL069W,False,False,False,True,False,False,True,False,False
260,YBL070C,False,False,False,,,,False,False,False
261,YBL071C,True,False,False,False,False,False,False,False,False
262,YBL071C-B,False,False,False,,,,False,False,False
263,YBL071W-A,True,False,False,False,False,False,False,False,False
264,YBL072C,True,False,False,True,False,False,True,False,False
265,YBL073W,False,False,False,,,,False,False,False
266,YBL074C,True,False,False,True,False,False,True,False,False
267,YBL075C,True,False,False,True,False,False,True,False,False
268,YBL076C,True,False,False,True,False,False,True,False,False
269,YBL077W,True,False,False,False,False,False,False,False,False
270,YBL078C,True,False,False,True,False,False,True,False,False
271,YBL079W,False,False,False,True,False,False,True,False,False
272,YBL080C,True,False,False,True,False,False,True,False,False
273,YBL081W,True,False,False,True,False,False,True,False,False
274,YBL082C,True,False,False,True,False,False,True,False,False
275,YBL083C,False,False,False,,,,False,False,False
276,YBL084C,True,False,False,True,False,False,True,False,False
277,YBL085W,True,False,False,True,False,False,True,False,False
278,YBL086C,True,False,False,True,False,False,True,False,False
279,YBL087C,True,False,False,True,False,False,True,False,False
280,YBL088C,True,False,False,False,False,False,False,False,False
281,YBL089W,True,False,False,True,False,False,True,False,False
282,YBL090W,True,False,False,False,False,False,True,False,False
283,YBL091C,True,False,False,True,False,False,True,False,False
284,YBL091C-A,True,False,False,True,False,False,True,False,False
285,YBL092W,True,False,False,True,False,False,True,False,False
286,YBL093C,True,False,False,True,False,False,True,False,False
287,YBL094C,False,False,False,,,,False,False,False
288,YBL095W,True,False,False,True,False,False,True,False,False
289,YBL096C,False,False,False,,,,False,False,False
290,YBL097W,False,False,False,True,False,False,True,False,False
291,YBL098W,True,False,False,True,False,False,True,False,False
292,YBL099W,True,False,False,True,False,False,False,False,False
293,YBL100C,False,False,False,True,False,False,True,False,False
294,YBL100W-A,False,False,False,,,,,,
295,YBL100W-B,True,False,False,True,True,False,True,True,False
296,YBL100W-C,False,False,False,,,,False,False,False
297,YBL101C,True,False,False,True,False,False,True,False,False
298,YBL102W,True,False,False,False,False,False,False,False,False
299,YBL103C,True,False,False,False,False,False,False,False,False
300,YBL104C,True,False,False,False,False,False,False,False,False
301,YBL105C,True,False,False,False,False,False,False,False,False
302,YBL106C,True,False,False,True,False,False,True,False,False
303,YBL107C,True,False,False,False,False,False,False,False,False
304,YBL107W-A,False,False,False,False,False,False,False,False,False
305,YBL108C-A,False,False,False,False,False,False,False,False,False
306,YBL108W,True,True,False,,,,True,True,False
307,YBL109W,True,False,False,,,,True,False,False
308,YBL111C,True,False,False,False,False,False,False,False,False
309,YBL112C,True,False,False,False,False,False,False,False,False
310,YBL113C,True,False,False,True,False,False,True,False,False
311,YBL113W-A,False,False,False,,,,,,
312,YBR001C,True,False,False,True,False,False,True,False,False
313,YBR002C,False,False,False,True,False,False,True,False,False
314,YBR003W,True,False,False,False,False,False,False,False,False
315,YBR004C,True,False,False,False,False,False,False,False,False
316,YBR005W,True,False,False,False,False,False,False,False,False
317,YBR006W,True,False,False,True,False,False,True,False,False
318,YBR007C,True,False,False,True,False,False,True,False,False
319,YBR008C,True,False,False,True,False,False,True,False,False
320,YBR009C,True,False,False,True,False,False,True,False,False
321,YBR010W,True,False,False,True,False,False,True,False,False
322,YBR011C,True,False,False,True,False,False,True,False,False
323,YBR012C,True,False,False,True,False,False,True,False,False
324,YBR012W-A,False,False,False,,,,,,
325,YBR012W-B,True,True,False,True,True,True,True,True,True
326,YBR013C,True,False,False,False,False,False,False,False,False
327,YBR014C,True,False,False,True,False,False,True,False,False
328,YBR015C,True,False,False,False,False,False,False,False,False
329,YBR016W,True,False,False,True,False,False,True,False,False
330,YBR017C,True,False,False,True,False,False,True,False,False
331,YBR018C,True,True,False,True,False,False,True,False,False
332,YBR019C,True,False,False,False,False,False,False,False,False
333,YBR020W,True,False,False,True,False,False,True,False,False
334,YBR021W,False,False,False,True,False,False,True,False,False
335,YBR022W,True,False,False,True,False,False,True,False,False
336,YBR023C,True,False,False,True,False,False,True,False,False
337,YBR024W,True,False,False,False,False,False,False,False,False
338,YBR025C,True,False,False,True,False,False,True,False,False
339,YBR026C,True,False,False,False,False,False,False,False,False
340,YBR027C,False,False,False,False,False,False,False,False,False
341,YBR028C,False,False,False,True,False,False,True,False,False
342,YBR029C,False,False,False,True,False,False,True,False,False
343,YBR030W,False,False,False,True,False,False,True,False,False
344,YBR031W,True,False,False,True,False,False,True,False,False
345,YBR032W,False,False,False,False,False,False,False,False,False
346,YBR033W,True,False,False,True,False,False,True,False,False
347,YBR034C,True,True,False,True,True,False,True,True,False
348,YBR035C,True,False,False,True,False,False,True,False,False
349,YBR036C,True,False,False,False,False,False,False,False,False
350,YBR037C,True,False,False,True,False,False,True,False,False
351,YBR038W,True,False,False,True,False,False,True,False,False
352,YBR039W,True,False,False,True,False,False,True,False,False
353,YBR040W,False,False,False,,,,False,False,False
354,YBR041W,False,False,False,True,False,False,True,False,False
355,YBR042C,True,False,False,True,False,False,True,False,False
356,YBR043C,True,False,False,True,False,False,True,False,False
357,YBR044C,True,False,False,False,False,False,False,False,False
358,YBR045C,True,False,False,False,False,False,False,False,False
359,YBR046C,True,False,False,False,False,False,False,False,False
360,YBR047W,False,False,False,True,False,False,True,False,False
361,YBR048W,True,False,False,True,False,False,True,False,False
362,YBR049C,True,False,False,True,False,False,True,False,False
363,YBR050C,True,False,False,True,False,False,True,False,False
364,YBR051W,False,False,False,False,False,False,False,False,False
365,YBR052C,True,False,False,True,False,False,True,False,False
366,YBR053C,True,False,False,False,False,False,False,False,False
367,YBR054W,True,True,False,True,True,False,True,True,False
368,YBR055C,True,False,False,True,False,False,True,False,False
369,YBR056C-B,False,False,False,,,,,,
370,YBR056W,True,False,False,False,False,False,False,False,False
371,YBR056W-A,False,False,False,True,False,False,True,False,False
372,YBR057C,True,False,False,True,False,False,True,False,False
373,YBR058C,True,False,False,False,False,False,False,False,False
374,YBR058C-A,True,False,False,True,False,False,True,False,False
375,YBR059C,True,False,False,True,False,False,True,False,False
376,YBR060C,False,False,False,True,False,False,True,False,False
377,YBR061C,True,False,False,True,False,False,True,False,False
378,YBR062C,True,False,False,True,False,False,True,False,False
379,YBR063C,True,False,False,True,False,False,True,False,False
380,YBR064W,False,False,False,,,,False,False,False
381,YBR065C,False,False,False,True,False,False,True,False,False
382,YBR066C,True,False,False,False,False,False,False,False,False
383,YBR067C,True,True,True,True,True,True,True,True,True
384,YBR068C,True,False,False,True,False,False,True,False,False
385,YBR069C,True,False,False,True,True,False,True,True,False
386,YBR070C,True,True,False,True,True,False,True,True,False
387,YBR071W,True,False,False,True,False,False,True,False,False
388,YBR072C-A,True,True,False,,,,True,True,False
389,YBR072W,True,False,False,False,False,False,False,False,False
390,YBR073W,True,False,False,True,False,False,True,False,False
391,YBR074W,True,False,False,False,False,False,False,False,False
392,YBR076C-A,True,False,False,True,False,False,True,False,False
393,YBR076W,True,False,False,True,False,False,True,False,False
394,YBR077C,True,False,False,True,False,False,True,False,False
395,YBR078W,True,False,False,True,False,False,True,False,False
396,YBR079C,True,False,False,True,False,False,True,False,False
397,YBR080C,True,False,False,True,False,False,True,False,False
398,YBR081C,True,False,False,True,False,False,True,False,False
399,YBR082C,True,False,False,True,False,False,True,False,False
400,YBR083W,True,False,False,False,False,False,False,False,False
401,YBR084C-A,True,False,False,True,False,False,True,False,False
402,YBR084W,True,False,False,True,False,False,True,False,False
403,YBR085C-A,True,False,False,False,False,False,False,False,False
404,YBR085W,True,False,False,True,False,False,True,False,False
405,YBR086C,True,False,False,True,False,False,True,False,False
406,YBR087W,True,False,False,False,False,False,False,False,False
407,YBR088C,True,False,False,True,False,False,True,False,False
408,YBR089C-A,True,False,False,True,False,False,True,False,False
409,YBR089W,False,False,False,,,,False,False,False
410,YBR090C,True,False,False,True,False,False,True,False,False
411,YBR091C,True,False,False,False,False,False,False,False,False
412,YBR092C,True,True,True,True,True,True,True,True,True
413,YBR093C,True,True,True,True,True,True,True,True,True
414,YBR094W,False,False,False,True,False,False,True,False,False
415,YBR095C,True,False,False,True,False,False,True,False,False
