YBL040C,679,770,738,1080,1411,1405
YBL041W,2311,2273,2361,4010,5027,4413
YBL042C,426,409,396,653,844,570
YBL043W,44,72,53,178,149,182
YBL044W,13,9,8,161,165,139
YBL045C,1488,1606,1235,2222,2332,2260
YBL046W,675,595,647,1236,1122,1109
YBL047C,3596,3548,2788,4525,4369,3932
YBL048W,29,15,21,22,64,40
YBL049W,85,77,86,173,196,166
YBL050W,1061,1015,960,1445,1884,1906
YBL051C,1267,995,1200,1394,1361,1285
YBL052C,377,255,367,362,435,494
YBL053W,8,5,6,7,12,7
YBL054W,378,131,427,163,128,187
YBL055C,677,587,650,789,772,737
YBL056W,2521,2487,2447,2930,2810,2583
YBL057C,653,778,879,1138,1055,986
YBL058W,2117,2032,2113,2600,3083,2787
YBL059C-A,161,169,171,231,255,215
YBL059W,123,143,147,231,248,266
YBL060W,283,225,279,420,432,526
YBL061C,714,646,655,820,713,702
YBL062W,1,0,4,1,4,4
YBL063W,306,225,299,309,404,356
YBL064C,832,914,815,1179,1271,1368
YBL065W,5,0,1,1,3,7
YBL066C,305,227,217,511,491,509
YBL067C,755,572,719,833,1018,1079
YBL068W,531,374,627,456,520,492
YBL068W-A,0,0,0,0,0,0
YBL069W,270,232,253,239,265,258
YBL070C,8,1,8,9,6,7
YBL071C,62,38,80,74,77,102
YBL071C-B,2,4,7,3,8,2
YBL071W-A,58,89,135,99,131,85
YBL072C,15427,14461,16616,15415,16249,15877
YBL073W,3,0,3,1,1,2
YBL074C,60,53,64,73,53,49
YBL075C,347,267,387,500,550,516
YBL076C,4958,3926,4263,3988,3961,3617
YBL077W,58,13,60,32,74,90
YBL078C,315,367,299,620,657,606
YBL079W,949,661,751,764,812,871
YBL080C,259,225,268,351,424,466
YBL081W,829,430,973,626,624,669
YBL082C,480,446,473,856,723,733
YBL083C,3,3,3,5,4,4
YBL084C,348,289,301,649,775,688
YBL085W,1425,1100,1320,2370,2750,2590
YBL086C,856,704,786,1308,1446,1322
YBL087C,7285,7306,8282,6873,7142,6689
YBL088C,563,496,473,627,753,670
YBL089W,292,280,341,410,442,425
YBL090W,298,222,277,270,393,360
YBL091C,2540,2481,2707,4062,4450,3855
YBL091C-A,341,352,328,597,773,624
YBL092W,15560,17847,19361,19266,18030,16608
YBL093C,1040,710,1029,1034,1162,997
YBL094C,0,0,0,0,0,2
YBL095W,122,122,130,264,211,233
YBL096C,7,2,5,6,9,8
YBL097W,185,155,137,172,139,108
YBL098W,183,166,160,242,248,261
YBL099W,2910,3196,2785,4691,4946,4480
YBL100C,42,29,37,38,39,33
YBL100W-A,0,0,0,0,0,0
YBL100W-B,540,489,556,323,335,333
YBL100W-C,2,2,2,5,1,7
YBL101C,799,1292,653,1178,1016,922
YBL102W,633,697,600,940,1076,1045
YBL103C,505,445,455,589,736,647
YBL104C,444,313,390,493,565,489
YBL105C,1657,1098,1342,1843,2020,1900
YBL106C,305,204,227,407,393,374
YBL107C,400,334,411,440,582,659
YBL107W-A,10,6,14,8,12,23
YBL108C-A,9,12,16,18,26,24
YBL108W,2,2,1,7,6,8
YBL109W,6,12,4,15,12,14
YBL111C,206,163,148,266,203,167
YBL112C,35,41,42,53,63,45
YBL113C,632,726,686,1774,1378,1305
YBL113W-A,0,0,0,0,0,0
YBR001C,694,647,603,1047,1131,1019
YBR002C,488,339,505,475,520,510
YBR003W,706,674,637,853,951,996
YBR004C,602,343,525,475,807,692
YBR005W,805,921,589,974,1494,940
YBR006W,349,485,332,734,863,773
YBR007C,429,301,399,625,728,761
YBR008C,315,240,371,458,619,546
YBR009C,5687,4241,5770,7850,8623,7956
YBR010W,4707,3214,4896,5875,7689,8190
YBR011C,7067,7177,8802,13953,15199,14141
YBR012C,53,37,57,35,36,53
